1,-100.29094,-1748.32457
2,-44.14397,-805.11519
3,-18.29200,-370.82624
4,-6.38897,-170.86333
5,-0.90857,-78.79291
6,1.61462,-36.40022
7,2.77620,-16.88103
8,3.31084,-7.89366
9,3.55682,-3.75552
10,3.66988,-1.85015
11,3.72174,-0.97284
12,3.74543,-0.56888
13,3.75614,-0.38287
14,3.76088,-0.29721
15,3.76287,-0.25776
16,3.76360,-0.23959
17,3.76374,-0.23121
18,3.76361,-0.22734
19,3.76335,-0.22554
20,3.76304,-0.22471
21,3.76271,-0.22431
22,3.76236,-0.22411
23,3.76201,-0.22401
24,3.76165,-0.22395
25,3.76130,-0.22392
26,3.76094,-0.22389
27,3.76058,-0.22386
28,3.76022,-0.22384
29,3.75987,-0.22382
30,3.75951,-0.22380
31,3.75915,-0.22377
32,3.75879,-0.22375
33,3.75844,-0.22373
34,3.75808,-0.22371
35,3.75772,-0.22369
36,3.75736,-0.22367
37,3.75701,-0.22365
38,3.75665,-0.22363
39,3.75629,-0.22360
40,3.75594,-0.22358
41,3.75558,-0.22356
42,3.75522,-0.22354
43,3.75486,-0.22352
44,3.75451,-0.22350
45,3.75415,-0.22348
46,3.75379,-0.22346
47,3.75344,-0.22343
48,3.75308,-0.22341
49,3.75272,-0.22339
50,3.75236,-0.22337
51,3.75201,-0.22335
52,3.75165,-0.22333
53,3.75129,-0.22331
54,3.75094,-0.22329
55,3.75058,-0.22326
56,3.75022,-0.22324
57,3.74987,-0.22322
58,3.74951,-0.22320
59,3.74915,-0.22318
60,3.74880,-0.22316
61,3.74844,-0.22314
62,3.74808,-0.22312
63,3.74773,-0.22309
64,3.74737,-0.22307
65,3.74701,-0.22305
66,3.74666,-0.22303
67,3.74630,-0.22301
68,3.74595,-0.22299
69,3.74559,-0.22297
70,3.74523,-0.22295
71,3.74488,-0.22292
72,3.74452,-0.22290
73,3.74417,-0.22288
74,3.74381,-0.22286
75,3.74345,-0.22284
76,3.74310,-0.22282
77,3.74274,-0.22280
78,3.74238,-0.22278
79,3.74203,-0.22276
80,3.74167,-0.22273
81,3.74132,-0.22271
82,3.74096,-0.22269
83,3.74061,-0.22267
84,3.74025,-0.22265
85,3.73989,-0.22263
86,3.73954,-0.22261
87,3.73918,-0.22259
88,3.73883,-0.22256
89,3.73847,-0.22254
90,3.73812,-0.22252
91,3.73776,-0.22250
92,3.73741,-0.22248
93,3.73705,-0.22246
94,3.73669,-0.22244
95,3.73634,-0.22242
96,3.73598,-0.22240
97,3.73563,-0.22237
98,3.73527,-0.22235
99,3.73492,-0.22233
100,3.73456,-0.22231
101,3.73421,-0.22229
102,3.73385,-0.22227
103,3.73350,-0.22225
104,3.73314,-0.22223
105,3.73279,-0.22221
106,3.73243,-0.22218
107,3.73208,-0.22216
108,3.73172,-0.22214
109,3.73137,-0.22212
110,3.73101,-0.22210
111,3.73066,-0.22208
112,3.73030,-0.22206
113,3.72995,-0.22204
114,3.72959,-0.22202
115,3.72924,-0.22199
116,3.72888,-0.22197
117,3.72853,-0.22195
118,3.72817,-0.22193
119,3.72782,-0.22191
120,3.72747,-0.22189
121,3.72711,-0.22187
122,3.72676,-0.22185
123,3.72640,-0.22183
124,3.72605,-0.22180
125,3.72569,-0.22178
126,3.72534,-0.22176
127,3.72498,-0.22174
128,3.72463,-0.22172
129,3.72428,-0.22170
130,3.72392,-0.22168
131,3.72357,-0.22166
132,3.72321,-0.22164
133,3.72286,-0.22161
134,3.72251,-0.22159
135,3.72215,-0.22157
136,3.72180,-0.22155
137,3.72144,-0.22153
138,3.72109,-0.22151
139,3.72074,-0.22149
140,3.72038,-0.22147
141,3.72003,-0.22145
142,3.71967,-0.22142
143,3.71932,-0.22140
144,3.71897,-0.22138
145,3.71861,-0.22136
146,3.71826,-0.22134
147,3.71791,-0.22132
148,3.71755,-0.22130
149,3.71720,-0.22128
150,3.71684,-0.22126
151,3.71649,-0.22124
152,3.71614,-0.22121
153,3.71578,-0.22119
154,3.71543,-0.22117
155,3.71508,-0.22115
156,3.71472,-0.22113
157,3.71437,-0.22111
158,3.71402,-0.22109
159,3.71366,-0.22107
160,3.71331,-0.22105
161,3.71296,-0.22102
162,3.71261,-0.22100
163,3.71225,-0.22098
164,3.71190,-0.22096
165,3.71155,-0.22094
166,3.71119,-0.22092
167,3.71084,-0.22090
168,3.71049,-0.22088
169,3.71013,-0.22086
170,3.70978,-0.22084
171,3.70943,-0.22081
172,3.70908,-0.22079
173,3.70872,-0.22077
174,3.70837,-0.22075
175,3.70802,-0.22073
176,3.70767,-0.22071
177,3.70731,-0.22069
178,3.70696,-0.22067
179,3.70661,-0.22065
180,3.70625,-0.22063
181,3.70590,-0.22060
182,3.70555,-0.22058
183,3.70520,-0.22056
184,3.70485,-0.22054
185,3.70449,-0.22052
186,3.70414,-0.22050
187,3.70379,-0.22048
188,3.70344,-0.22046
189,3.70308,-0.22044
190,3.70273,-0.22042
191,3.70238,-0.22040
192,3.70203,-0.22037
193,3.70168,-0.22035
194,3.70132,-0.22033
195,3.70097,-0.22031
196,3.70062,-0.22029
197,3.70027,-0.22027
198,3.69992,-0.22025
199,3.69956,-0.22023
200,3.69921,-0.22021
201,3.69886,-0.22019
202,3.69851,-0.22016
203,3.69816,-0.22014
204,3.69780,-0.22012
205,3.69745,-0.22010
206,3.69710,-0.22008
207,3.69675,-0.22006
208,3.69640,-0.22004
209,3.69605,-0.22002
210,3.69569,-0.22000
211,3.69534,-0.21998
212,3.69499,-0.21996
213,3.69464,-0.21993
214,3.69429,-0.21991
215,3.69394,-0.21989
216,3.69359,-0.21987
217,3.69324,-0.21985
218,3.69288,-0.21983
219,3.69253,-0.21981
220,3.69218,-0.21979
221,3.69183,-0.21977
222,3.69148,-0.21975
223,3.69113,-0.21973
224,3.69078,-0.21970
225,3.69043,-0.21968
226,3.69008,-0.21966
227,3.68972,-0.21964
228,3.68937,-0.21962
229,3.68902,-0.21960
230,3.68867,-0.21958
231,3.68832,-0.21956
232,3.68797,-0.21954
233,3.68762,-0.21952
234,3.68727,-0.21950
235,3.68692,-0.21947
236,3.68657,-0.21945
237,3.68622,-0.21943
238,3.68587,-0.21941
239,3.68552,-0.21939
240,3.68516,-0.21937
241,3.68481,-0.21935
242,3.68446,-0.21933
243,3.68411,-0.21931
244,3.68376,-0.21929
245,3.68341,-0.21927
246,3.68306,-0.21925
247,3.68271,-0.21922
248,3.68236,-0.21920
249,3.68201,-0.21918
250,3.68166,-0.21916
251,3.68131,-0.21914
252,3.68096,-0.21912
253,3.68061,-0.21910
254,3.68026,-0.21908
255,3.67991,-0.21906
256,3.67956,-0.21904
257,3.67921,-0.21902
258,3.67886,-0.21900
259,3.67851,-0.21897
260,3.67816,-0.21895
261,3.67781,-0.21893
262,3.67746,-0.21891
263,3.67711,-0.21889
264,3.67676,-0.21887
265,3.67641,-0.21885
266,3.67606,-0.21883
267,3.67571,-0.21881
268,3.67536,-0.21879
269,3.67501,-0.21877
270,3.67467,-0.21875
271,3.67432,-0.21872
272,3.67397,-0.21870
273,3.67362,-0.21868
274,3.67327,-0.21866
275,3.67292,-0.21864
276,3.67257,-0.21862
277,3.67222,-0.21860
278,3.67187,-0.21858
279,3.67152,-0.21856
280,3.67117,-0.21854
281,3.67082,-0.21852
282,3.67047,-0.21850
283,3.67012,-0.21848
284,3.66978,-0.21845
