1,79447.14
2,71435.21
3,64264.53
4,57846.78
5,52102.89
6,46962.12
7,42361.13
8,38243.24
9,34557.74
10,31259.21
11,28307.02
12,25664.82
13,23300.04
14,21183.57
15,19289.32
16,17593.97
17,16076.62
18,14718.60
19,13503.16
20,12415.35
21,11441.75
22,10570.37
23,9790.49
24,9092.49
25,8467.77
26,7908.65
27,7408.23
28,6960.35
29,6559.50
30,6200.73
31,5879.63
32,5592.24
33,5335.02
34,5104.80
35,4898.75
36,4714.34
37,4549.28
38,4401.55
39,4269.33
40,4150.99
41,4045.06
42,3950.26
43,3865.40
44,3789.46
45,3721.48
46,3660.63
47,3606.17
48,3557.42
49,3513.79
50,3474.73
51,3439.78
52,3408.48
53,3380.47
54,3355.39
55,3332.95
56,3312.85
57,3294.87
58,3278.76
59,3264.34
60,3251.43
61,3239.88
62,3229.53
63,3220.26
64,3211.96
65,3204.53
66,3197.88
67,3191.92
68,3186.58
69,3181.79
70,3177.51
71,3173.67
72,3170.23
73,3167.14
74,3164.38
75,3161.90
76,3159.67
77,3157.68
78,3155.89
79,3154.28
80,3152.84
81,3151.55
82,3150.38
83,3149.34
84,3148.40
85,3147.55
86,3146.79
87,3146.10
88,3145.48
89,3144.93
90,3144.42
91,3143.97
92,3143.55
93,3143.18
94,3142.84
95,3142.53
96,3142.25
97,3142.00
98,3141.77
99,3141.55
100,3141.36
101,3141.18
102,3141.01
103,3140.86
104,3140.72
105,3140.59
106,3140.47
107,3140.36
108,3140.25
109,3140.15
110,3140.06
111,3139.97
112,3139.89
113,3139.81
114,3139.74
115,3139.67
116,3139.60
117,3139.53
118,3139.47
119,3139.41
120,3139.35
121,3139.29
122,3139.23
123,3139.18
124,3139.13
125,3139.07
126,3139.02
127,3138.97
128,3138.92
129,3138.88
130,3138.83
131,3138.78
132,3138.73
133,3138.69
134,3138.64
135,3138.59
136,3138.55
137,3138.50
138,3138.46
139,3138.41
140,3138.37
141,3138.32
142,3138.28
143,3138.24
144,3138.19
145,3138.15
146,3138.11
147,3138.06
148,3138.02
149,3137.98
150,3137.93
151,3137.89
152,3137.85
153,3137.80
154,3137.76
155,3137.72
156,3137.67
157,3137.63
158,3137.59
159,3137.54
160,3137.50
161,3137.46
162,3137.42
